Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSCID1,,,,2023-11-02 20:05:27,2023-11-02 20:05:31,3.884s,ERROR
,,,,,,,
Test Cases/TCID_1,,,,2023-11-02 20:05:28,2023-11-02 20:05:28,0.057s,ERROR
"pritln(""1st test case created"")",,,,2023-11-02 20:05:28,2023-11-02 20:05:28,0.012s,ERROR
,,,,,,,
Test Cases/TCID_2,,,,2023-11-02 20:05:28,2023-11-02 20:05:29,0.646s,PASSED
"println(""2nd test case created"")",,,,2023-11-02 20:05:29,2023-11-02 20:05:29,0.004s,PASSED
,,,,,,,
Test Cases/TCID_3,,,,2023-11-02 20:05:29,2023-11-02 20:05:29,0.578s,PASSED
"println(""3rd test case created"")",,,,2023-11-02 20:05:29,2023-11-02 20:05:29,0.001s,PASSED
,,,,,,,
Test Cases/TCID_4,,,,2023-11-02 20:05:29,2023-11-02 20:05:30,0.635s,PASSED
"println(""4th test case created"")",,,,2023-11-02 20:05:30,2023-11-02 20:05:30,0.005s,PASSED
,,,,,,,
Test Cases/TCID_5,,,,2023-11-02 20:05:30,2023-11-02 20:05:31,0.589s,PASSED
"println(""5th test case created"")",,,,2023-11-02 20:05:31,2023-11-02 20:05:31,0.001s,PASSED
