Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSCID1,,,,2023-11-01 11:16:36,2023-11-01 11:16:37,0.777s,PASSED
,,,,,,,
Test Cases/TCID_1,,,,2023-11-01 11:16:37,2023-11-01 11:16:37,0.337s,PASSED
"println(""1st test case created"")",,,,2023-11-01 11:16:37,2023-11-01 11:16:37,0.008s,PASSED
,,,,,,,
Test Cases/TCID_2,,,,2023-11-01 11:16:37,2023-11-01 11:16:37,0.064s,PASSED
"println(""3rd test case created"")",,,,2023-11-01 11:16:37,2023-11-01 11:16:37,0.001s,PASSED
,,,,,,,
Test Cases/TCID_3,,,,2023-11-01 11:16:37,2023-11-01 11:16:37,0.036s,PASSED
"println(""1st test case created"")",,,,2023-11-01 11:16:37,2023-11-01 11:16:37,0.002s,PASSED
,,,,,,,
Test Cases/TCID_4,,,,2023-11-01 11:16:37,2023-11-01 11:16:37,0.054s,PASSED
"println(""4th test case created"")",,,,2023-11-01 11:16:37,2023-11-01 11:16:37,0.001s,PASSED
