Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSCID1,,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.698s,PASSED
,,,,,,,
Test Cases/TCID_1,,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.202s,PASSED
"println(""1st test case created"")",,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.008s,PASSED
,,,,,,,
Test Cases/TCID_2,,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.098s,PASSED
"println(""3rd test case created"")",,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.001s,PASSED
,,,,,,,
Test Cases/TCID_3,,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.030s,PASSED
"println(""1st test case created"")",,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.001s,PASSED
,,,,,,,
Test Cases/TCID_4,,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.075s,PASSED
"println(""4th test case created"")",,,,2023-11-02 17:36:51,2023-11-02 17:36:51,0.001s,PASSED
